dataset,model,scenario,region,variable,unit,year,occurrences,duplicate_values
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKM7,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[568.417513366283, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKM8,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[12.0182731927603, 613.662587114997]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKM8,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[412.086344557834, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKM9,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[8.60355747608713, 378.178059310929]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKM9,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[295.001494278702, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKN0,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[14.5936174483518, 749.279736227835]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKN0,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[500.390561248798, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,BE,Demand|Electricity|Energy Sector,GWh,2023,2,"[1659.0, 1659.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,BE,Demand|Heat|Energy Sector,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,BE,Demand|Natural gas|Energy Sector,GWh,2023,2,"[5810.076, 5810.076]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,BE,Distribution losses|Electricity,GWh,2023,2,"[3653.4, 3653.4]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,BE,Distribution losses|Heat,GWh,2023,2,"[308.194, 308.194]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,BE,Distribution losses|Natural gas,GWh,2023,2,"[280.933, 280.933]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,BE,Exports|Electricity,GWh,2023,2,"[18585.6, 18585.6]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,BE,Exports|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,BE,Exports|Natural,GWh,2023,2,"[79843.196, 79843.196]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,BE,Imports|Electricity,GWh,2023,2,"[20223.9, 20223.9]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,BE,Imports|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,BE,Imports|Natural gas,GWh,2023,2,"[223033.714, 223033.714]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DE,Demand|Electricity|Energy Sector,GWh,2023,2,"[9510.0, 9510.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DE,Demand|Heat|Energy Sector,GWh,2023,2,"[3410.833, 3410.833]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DE,Demand|Natural gas|Energy Sector,GWh,2023,2,"[9367.164, 9367.164]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DE,Distribution losses|Electricity,GWh,2023,2,"[25774.0, 25774.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DE,Distribution losses|Heat,GWh,2023,2,"[11396.944, 11396.944]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DE,Distribution losses|Natural gas,GWh,2023,2,"[276.454, 276.454]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DE,Exports|Electricity,GWh,2023,2,"[60082.0, 60082.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DE,Exports|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DE,Exports|Natural,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DE,Imports|Electricity,GWh,2023,2,"[69307.0, 69307.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DE,Imports|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DE,Imports|Natural gas,GWh,2023,2,"[697801.351, 697801.351]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DK,Demand|Electricity|Energy Sector,GWh,2023,2,"[1188.319, 1188.319]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DK,Demand|Heat|Energy Sector,GWh,2023,2,"[2.03299999999998, 2.03299999999998]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DK,Demand|Natural gas|Energy Sector,GWh,2023,2,"[4616.084, 4616.084]"
